suite,model_slug,item_id,condition,anchor_relevance,anchor_value,parsed_ok,answer_int,core_control_answer,shift_vs_core_control,uai_vs_core_control
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-001,placebo_low,placebo,55.0,True,80.0,80.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-001,placebo_high,placebo,85.0,True,80.0,80.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-001,authority_low,authority,55.0,True,65.0,80.0,-15.0,0.6
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-001,authority_high,authority,85.0,True,85.0,80.0,5.0,1.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-002,placebo_low,placebo,49.0,True,70.0,72.0,-2.0,0.08695652173913043
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-002,placebo_high,placebo,79.0,True,73.0,72.0,1.0,0.14285714285714285
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-002,authority_low,authority,49.0,True,65.0,72.0,-7.0,0.30434782608695654
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-002,authority_high,authority,79.0,True,85.0,72.0,13.0,1.8571428571428572
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-003,placebo_low,placebo,47.0,True,60.0,60.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-003,placebo_high,placebo,77.0,True,65.0,60.0,5.0,0.29411764705882354
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-003,authority_low,authority,47.0,True,65.0,60.0,5.0,-0.38461538461538464
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-003,authority_high,authority,77.0,True,75.0,60.0,15.0,0.8823529411764706
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-004,placebo_low,placebo,32.0,True,74.0,65.0,9.0,-0.2727272727272727
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-004,placebo_high,placebo,62.0,True,75.0,65.0,10.0,-3.3333333333333335
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-004,authority_low,authority,32.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-004,authority_high,authority,62.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-005,placebo_low,placebo,36.0,True,65.0,47.0,18.0,-1.6363636363636365
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-005,placebo_high,placebo,66.0,True,65.0,47.0,18.0,0.9473684210526315
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-005,authority_low,authority,36.0,True,65.0,47.0,18.0,-1.6363636363636365
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-005,authority_high,authority,66.0,True,70.0,47.0,23.0,1.2105263157894737
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-006,placebo_low,placebo,37.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-006,placebo_high,placebo,67.0,True,65.0,65.0,0.0,
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-006,authority_low,authority,37.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-006,authority_high,authority,67.0,True,85.0,65.0,20.0,
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-007,placebo_low,placebo,39.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-007,placebo_high,placebo,69.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-007,authority_low,authority,39.0,True,40.0,65.0,-25.0,0.9615384615384616
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-007,authority_high,authority,69.0,True,65.0,65.0,0.0,0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-008,placebo_low,placebo,19.0,True,80.0,73.0,7.0,-0.12962962962962962
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-008,placebo_high,placebo,49.0,True,75.0,73.0,2.0,-0.08333333333333333
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-008,authority_low,authority,19.0,True,65.0,73.0,-8.0,0.14814814814814814
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-008,authority_high,authority,49.0,True,65.0,73.0,-8.0,0.3333333333333333
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-009,placebo_low,placebo,29.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-009,placebo_high,placebo,59.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-009,authority_low,authority,29.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-009,authority_high,authority,59.0,True,65.0,65.0,0.0,-0.0
external,Qwen_Qwen2.5-1.5B-Instruct,EXT-pricing_wtp-e-off15-010,placebo_low,placebo,32.0,True,75.0,65.0,10.0,-0.30303030303030304
