suite,model_slug,metric,mean,ci_lo,ci_hi,n_used
External,Qwen_Qwen2.5-1.5B-Instruct,Acc10_c,0.33611111111111114,0.2861111111111111,0.3861111111111111,360
External,Qwen_Qwen2.5-1.5B-Instruct,DiscDelta,0.19438476488553036,0.14341166444017414,0.2498722441616448,360
External,Qwen_Qwen2.5-1.5B-Instruct,Parse,1.0,1.0,1.0,1800
External,Qwen_Qwen2.5-1.5B-Instruct,UAI_irr,0.027126642745526553,-0.010251393256940593,0.06383055451819529,360
External,Qwen_Qwen2.5-1.5B-Instruct,UAI_pls,0.22151140763105687,0.17664558392965926,0.2729538190120131,360
External,Qwen_Qwen2.5-3B-Instruct,Acc10_c,0.6508379888268156,0.6005586592178771,0.7011173184357542,358
External,Qwen_Qwen2.5-3B-Instruct,DiscDelta,0.10823325925112007,0.0438293043934228,0.1718327206787278,355
External,Qwen_Qwen2.5-3B-Instruct,Parse,0.9911111111111112,0.9866666666666667,0.995,1800
External,Qwen_Qwen2.5-3B-Instruct,UAI_irr,0.008547079215154312,-0.03320956436983933,0.04394980553333906,356
External,Qwen_Qwen2.5-3B-Instruct,UAI_pls,0.11447228777529987,0.06330286238603741,0.1681768049659731,357
External,Qwen_Qwen2.5-7B-Instruct,Acc10_c,0.7388888888888889,0.6916666666666667,0.7833333333333333,360
External,Qwen_Qwen2.5-7B-Instruct,DiscDelta,0.2795542813705999,0.23869366577966286,0.32123845600336065,360
External,Qwen_Qwen2.5-7B-Instruct,Parse,1.0,1.0,1.0,1800
External,Qwen_Qwen2.5-7B-Instruct,UAI_irr,0.00735179998231358,-0.011941520336510102,0.026751730614354107,360
External,Qwen_Qwen2.5-7B-Instruct,UAI_pls,0.2869060813529135,0.24642922300251038,0.32917648546897726,360
External,allenai_OLMo-2-0325-32B-Instruct,Acc10_c,0.5194444444444445,0.46944444444444444,0.5695138888888884,360
External,allenai_OLMo-2-0325-32B-Instruct,DiscDelta,0.35119507949944434,0.28728579260235987,0.41237613720049426,360
External,allenai_OLMo-2-0325-32B-Instruct,Parse,1.0,1.0,1.0,1800
External,allenai_OLMo-2-0325-32B-Instruct,UAI_irr,0.04526210306552799,-0.0051100311073558925,0.10488969408500512,360
External,allenai_OLMo-2-0325-32B-Instruct,UAI_pls,0.39645718256497237,0.3610066078725532,0.4343804165273161,360
External,allenai_OLMo-2-1124-13B-Instruct,Acc10_c,0.883008356545961,0.8495821727019499,0.9136490250696379,359
External,allenai_OLMo-2-1124-13B-Instruct,DiscDelta,0.08533223531739483,-0.007979194750669797,0.1663236359349675,359
External,allenai_OLMo-2-1124-13B-Instruct,Parse,0.9938888888888889,0.99,0.9972222222222222,1800
External,allenai_OLMo-2-1124-13B-Instruct,UAI_irr,0.027131909702169908,-0.04669623596166367,0.10956471621710688,359
External,allenai_OLMo-2-1124-13B-Instruct,UAI_pls,0.11246414501956475,0.025680349223763072,0.18814284807378126,359
External,google_gemma-3-1b-it,Acc10_c,0.36312849162011174,0.3128491620111732,0.4134078212290503,358
External,google_gemma-3-1b-it,DiscDelta,0.13791670991517974,0.0649892943044119,0.20703308175887905,355
External,google_gemma-3-1b-it,Parse,0.9938888888888889,0.99,0.9972222222222222,1800
External,google_gemma-3-1b-it,UAI_irr,0.018608420682614816,-0.01759037848695006,0.05697727366902243,355
External,google_gemma-3-1b-it,UAI_pls,0.15861237540612635,0.10083988997021942,0.21560375815815636,358
External,google_gemma-3-4b-it,Acc10_c,0.6045197740112994,0.556497175141243,0.652542372881356,354
External,google_gemma-3-4b-it,DiscDelta,0.2198261157497007,0.05111306710776124,0.3977413330517024,353
External,google_gemma-3-4b-it,Parse,0.9838888888888889,0.9777777777777777,0.9894444444444445,1800
External,google_gemma-3-4b-it,UAI_irr,0.1888459683240853,0.047119253637058406,0.3207884081410289,354
External,google_gemma-3-4b-it,UAI_pls,0.4091126297819751,0.2692548620585968,0.5507379618050022,353
External,meta-llama_Llama-3.1-8B-Instruct,Acc10_c,0.8535211267605634,0.8169014084507042,0.8901408450704226,355
External,meta-llama_Llama-3.1-8B-Instruct,DiscDelta,0.299183594582136,0.19274014342055384,0.40427112665863973,355
External,meta-llama_Llama-3.1-8B-Instruct,Parse,0.9877777777777778,0.9827777777777778,0.9927777777777778,1800
External,meta-llama_Llama-3.1-8B-Instruct,UAI_irr,0.022113983392060155,-0.07552512751695781,0.11790580935563785,355
External,meta-llama_Llama-3.1-8B-Instruct,UAI_pls,0.3212975779741961,0.23928860859226078,0.40520449034386957,355
External,meta-llama_Llama-3.2-1B-Instruct,Acc10_c,0.5294117647058824,0.4764705882352941,0.5794117647058824,340
External,meta-llama_Llama-3.2-1B-Instruct,DiscDelta,0.013963112557030618,-0.1340311016728805,0.16933006109988769,316
External,meta-llama_Llama-3.2-1B-Instruct,Parse,0.9233333333333333,0.9111111111111111,0.9355555555555556,1800
External,meta-llama_Llama-3.2-1B-Instruct,UAI_irr,0.2623210022228474,0.1305594000231871,0.3983087867345633,333
External,meta-llama_Llama-3.2-1B-Instruct,UAI_pls,0.2508359670634455,0.11764779642246084,0.4003900546080225,323
External,meta-llama_Llama-3.2-3B-Instruct,Acc10_c,0.6759776536312849,0.6256983240223464,0.723463687150838,358
External,meta-llama_Llama-3.2-3B-Instruct,DiscDelta,0.21526484029007503,0.06820106363867058,0.36154522535647177,357
External,meta-llama_Llama-3.2-3B-Instruct,Parse,0.9916666666666667,0.9872222222222222,0.9955555555555555,1800
External,meta-llama_Llama-3.2-3B-Instruct,UAI_irr,0.0740754341635743,-0.031849616599372146,0.1844960204747332,358
External,meta-llama_Llama-3.2-3B-Instruct,UAI_pls,0.2895644420029938,0.1882034698660185,0.38888623578768317,357
History,Qwen_Qwen2.5-1.5B-Instruct,Acc10_c,0.8361111111111111,0.7944444444444444,0.875,360
History,Qwen_Qwen2.5-1.5B-Instruct,DiscDelta,0.894479308420422,0.812588696261666,0.967919804006436,356
History,Qwen_Qwen2.5-1.5B-Instruct,Parse,0.9994444444444445,0.9983333333333333,1.0,1800
History,Qwen_Qwen2.5-1.5B-Instruct,UAI_irr,0.03740159228272592,-0.00919186482922447,0.08951390619663574,360
History,Qwen_Qwen2.5-1.5B-Instruct,UAI_pls,0.9326682270720039,0.8663689807616438,0.9958705022603599,356
History,Qwen_Qwen2.5-3B-Instruct,Acc10_c,0.888268156424581,0.8547486033519553,0.9189944134078212,358
History,Qwen_Qwen2.5-3B-Instruct,DiscDelta,0.18278206461549076,0.10179638153266043,0.259094353339668,351
History,Qwen_Qwen2.5-3B-Instruct,Parse,0.9916666666666667,0.9872222222222222,0.9955555555555555,1800
History,Qwen_Qwen2.5-3B-Instruct,UAI_irr,0.026762933023552406,-0.008829880383780193,0.06415642564150428,358
History,Qwen_Qwen2.5-3B-Instruct,UAI_pls,0.20913967040700465,0.13336507842621345,0.27819180785775677,351
History,Qwen_Qwen2.5-7B-Instruct,Acc10_c,0.9194444444444444,0.8888888888888888,0.9472222222222222,360
History,Qwen_Qwen2.5-7B-Instruct,DiscDelta,0.1836199588016292,0.12910759059551813,0.24303619362959086,351
History,Qwen_Qwen2.5-7B-Instruct,Parse,1.0,1.0,1.0,1800
History,Qwen_Qwen2.5-7B-Instruct,UAI_irr,-0.012431651859363468,-0.04553486855701863,0.024376050971343495,360
History,Qwen_Qwen2.5-7B-Instruct,UAI_pls,0.17545545199592863,0.13010501401932792,0.2242593246839048,351
History,allenai_OLMo-2-0325-32B-Instruct,Acc10_c,0.8777777777777778,0.8416666666666667,0.9111111111111111,360
History,allenai_OLMo-2-0325-32B-Instruct,DiscDelta,0.13391485425873362,0.043635014458125766,0.22080015432928382,320
History,allenai_OLMo-2-0325-32B-Instruct,Parse,1.0,1.0,1.0,1800
History,allenai_OLMo-2-0325-32B-Instruct,UAI_irr,-0.04308331101230451,-0.08851962646726418,-0.0024928170352473368,359
History,allenai_OLMo-2-0325-32B-Instruct,UAI_pls,0.0873868283550401,0.014366421061469755,0.15875193642922877,321
History,allenai_OLMo-2-1124-13B-Instruct,Acc10_c,0.8689458689458689,0.8319088319088319,0.9031339031339032,351
History,allenai_OLMo-2-1124-13B-Instruct,DiscDelta,0.2936791326821413,0.15130352201050712,0.440160917053804,336
History,allenai_OLMo-2-1124-13B-Instruct,Parse,0.9877777777777778,0.9827777777777778,0.9927777777777778,1800
History,allenai_OLMo-2-1124-13B-Instruct,UAI_irr,-0.13248404916665907,-0.2565577750811951,-0.011139343155291732,351
History,allenai_OLMo-2-1124-13B-Instruct,UAI_pls,0.16129462993920166,0.0961823994541404,0.22673227468087168,336
