model,model_slug,mean_abs_uai_irr,mean_abs_uai_pls,mean_disc,mean_abs_disc,mean_acc10_c,n_suites,mean_abs_uai,family,params_b,capability,capability_source,bubble_area
Gemma-1B,google_gemma-3-1b-it,0.056620000000000004,0.0823,0.11334,0.12006000000000001,0.38878,5,0.06946,Gemma,1.0,0.38878,mean_acc10_c (Arena unavailable),120.0
Gemma-4B,google_gemma-3-4b-it,0.06788000000000001,0.22956000000000004,0.10732,0.17964000000000002,0.5639000000000001,5,0.14872000000000002,Gemma,4.0,0.5639000000000001,mean_acc10_c (Arena unavailable),779.7623005019861
Llama-1B,meta-llama_Llama-3.2-1B-Instruct,0.19716,0.30018,0.1034,0.13,0.5932999999999999,5,0.24867,Llama,1.0,0.5932999999999999,mean_acc10_c (Arena unavailable),120.0
Llama-3B,meta-llama_Llama-3.2-3B-Instruct,0.0712,0.22627999999999998,0.15626,0.16218,0.78426,5,0.14873999999999998,Llama,3.0,0.78426,mean_acc10_c (Arena unavailable),528.8042536560266
Llama-8B,meta-llama_Llama-3.1-8B-Instruct,0.10495999999999998,0.28146,0.19188,0.19188,0.80106,5,0.19321,Llama,8.0,0.80106,mean_acc10_c (Arena unavailable),1987.7086537754449
OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,0.049920000000000006,0.1288,0.06377999999999999,0.0789,0.78,5,0.08936,OLMo,13.0,0.78,mean_acc10_c (Arena unavailable),3828.2894949566216
OLMo-32B,allenai_OLMo-2-0325-32B-Instruct,0.03654,0.25436,0.2475,0.26178,0.6894199999999999,5,0.14545,OLMo,32.0,0.6894199999999999,mean_acc10_c (Arena unavailable),12916.16893829706
Qwen-1.5B,Qwen_Qwen2.5-1.5B-Instruct,0.0867,0.44824,0.3865,0.38649999999999995,0.51388,5,0.26747,Qwen,1.5,0.51388,mean_acc10_c (Arena unavailable),207.44570415933907
Qwen-3B,Qwen_Qwen2.5-3B-Instruct,0.00934,0.13422,0.11672,0.135,0.7854,5,0.07178,Qwen,3.0,0.7854,mean_acc10_c (Arena unavailable),528.8042536560266
Qwen-7B,Qwen_Qwen2.5-7B-Instruct,0.01748,0.16386,0.18134,0.18134,0.8222200000000001,5,0.09067,Qwen,7.0,0.8222200000000001,mean_acc10_c (Arena unavailable),1659.8299627184085
