model,model_slug,mean_abs_uai_irr,mean_abs_uai_pls,mean_disc,mean_abs_disc,mean_acc10_c,n_suites,mean_abs_uai,family,params_b,capability,capability_source,bubble_area
Gemma-1B,google_gemma-3-1b-it,0.069725,0.100975,0.138725,0.147125,0.429025,4,0.08535,Gemma,1.0,0.429025,mean_acc10_c (Arena unavailable),120.0
Gemma-4B,google_gemma-3-4b-it,0.079925,0.21185,0.063975,0.154375,0.54445,4,0.1458875,Gemma,4.0,0.54445,mean_acc10_c (Arena unavailable),779.7623005019861
Llama-1B,meta-llama_Llama-3.2-1B-Instruct,0.24622499999999997,0.3577,0.1115,0.14475,0.57705,4,0.3019625,Llama,1.0,0.57705,mean_acc10_c (Arena unavailable),120.0
Llama-3B,meta-llama_Llama-3.2-3B-Instruct,0.08825,0.23254999999999998,0.144275,0.151675,0.760425,4,0.1604,Llama,3.0,0.760425,mean_acc10_c (Arena unavailable),528.8042536560266
Llama-8B,meta-llama_Llama-3.1-8B-Instruct,0.058124999999999996,0.21142499999999997,0.17254999999999998,0.17254999999999998,0.8069500000000001,4,0.13477499999999998,Llama,8.0,0.8069500000000001,mean_acc10_c (Arena unavailable),1987.7086537754449
OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,0.048025000000000005,0.108125,0.041225,0.060125000000000005,0.778475,4,0.078075,OLMo,13.0,0.778475,mean_acc10_c (Arena unavailable),3828.2894949566216
OLMo-32B,allenai_OLMo-2-0325-32B-Instruct,0.04285,0.30115000000000003,0.2954,0.31325,0.6805249999999999,4,0.17200000000000001,OLMo,32.0,0.6805249999999999,mean_acc10_c (Arena unavailable),12916.16893829706
Qwen-1.5B,Qwen_Qwen2.5-1.5B-Instruct,0.052575,0.3601,0.338725,0.338725,0.49305,4,0.20633749999999998,Qwen,1.5,0.49305,mean_acc10_c (Arena unavailable),207.44570415933907
Qwen-3B,Qwen_Qwen2.5-3B-Instruct,0.011349999999999999,0.14557499999999998,0.124025,0.146875,0.7458,4,0.07846249999999999,Qwen,3.0,0.7458,mean_acc10_c (Arena unavailable),528.8042536560266
Qwen-7B,Qwen_Qwen2.5-7B-Instruct,0.01605,0.16765,0.1837,0.1837,0.7805500000000001,4,0.09185,Qwen,7.0,0.7805500000000001,mean_acc10_c (Arena unavailable),1659.8299627184085
