suite,model,mae_control,acc10_control,uai_irr,uai_plaus,tar_irr,tar_plaus,disc_delta,parse_rate,p_plaus_vs_irr_bh,p_irr_vs_zero_bh,p_plaus_vs_zero_bh
External,Qwen-1.5B,18.05,0.3361,0.0245,0.2232,0.2194,0.4903,0.1986,1.0,0.0,0.026365,0.0
History,Qwen-1.5B,5.49,0.8361,0.041,0.9273,0.3833,0.8122,0.8864,0.9994,0.0,0.034946,0.0
Icl,Qwen-1.5B,10.25,0.5917,0.0115,0.0011,0.2306,0.2444,-0.0104,1.0,0.442575,0.442575,0.749422
Rag,Qwen-1.5B,22.57,0.2089,0.0426,0.2462,0.1922,0.4944,0.2036,0.9994,0.0,0.00157,0.0
Tool,Qwen-1.5B,26.15,0.4594,0.2403,0.8206,0.283,0.7213,0.5803,0.975,0.0,0.0,0.0
External,Qwen-3B,9.36,0.6508,0.0064,0.106,0.2166,0.4944,0.0996,0.9911,0.0,0.015945,0.0
History,Qwen-3B,3.65,0.8883,0.0235,0.2052,0.2818,0.4727,0.1817,0.9917,0.0,0.004779,0.0
Icl,Qwen-3B,7.16,0.775,-0.0399,-0.0373,0.1486,0.2042,0.0027,1.0,0.415124,0.415124,0.337017
Rag,Qwen-3B,8.22,0.7382,-0.0243,0.0715,0.1476,0.3877,0.0958,0.9978,0.0,0.331075,0.0
Tool,Qwen-3B,4.45,0.8974,0.0939,0.1692,0.2384,0.3788,0.0753,0.9772,0.0,0.003068,0.0
External,Qwen-7B,7.71,0.7389,0.0071,0.2912,0.1611,0.6722,0.2841,1.0,0.0,0.45103,0.0
History,Qwen-7B,3.77,0.9194,-0.0092,0.1714,0.3208,0.4806,0.1806,1.0,0.0,0.228247,0.0
Icl,Qwen-7B,5.5,0.875,-0.0253,-0.013,0.175,0.2278,0.0123,1.0,0.981865,0.981865,0.981865
Rag,Qwen-7B,9.83,0.6389,-0.0038,0.1968,0.1069,0.4819,0.2005,1.0,0.0,0.236523,0.0
Tool,Qwen-7B,0.67,0.9889,0.0031,0.1707,0.0833,0.5097,0.1676,1.0,0.0,0.628952,0.0
External,Llama-1B,15.74,0.5294,0.2313,0.2398,0.3691,0.5073,0.0086,0.9233,0.12228,2.4e-05,0.0
History,Llama-1B,15.71,0.5167,0.5151,0.53,0.6546,0.6345,0.0149,0.935,0.014083,0.0,0.0
Icl,Llama-1B,15.56,0.5417,0.2231,0.1478,0.3719,0.4125,-0.0754,0.9378,0.400224,0.0,0.001643
Rag,Llama-1B,14.08,0.5855,0.0444,0.14,0.262,0.3595,0.0956,0.9511,0.382501,0.028428,0.000681
Tool,Llama-1B,,,,,,,,0.0056,,,
