suite,model_slug,n_records,n_failures,parse_rate,tool_protocol,out_of_range,no_integer,other_parser,empty,error_prefix
External,Qwen_Qwen2.5-1.5B-Instruct,1800,0,1.0,0,0,0,0,0,0
External,Qwen_Qwen2.5-3B-Instruct,1800,16,0.9911111111111112,0,13,0,3,0,0
External,Qwen_Qwen2.5-7B-Instruct,1800,0,1.0,0,0,0,0,0,0
External,allenai_OLMo-2-0325-32B-Instruct,1800,0,1.0,0,0,0,0,0,0
External,allenai_OLMo-2-1124-13B-Instruct,1800,11,0.9938888888888889,0,0,0,11,0,0
External,google_gemma-3-1b-it,1800,11,0.9938888888888889,0,0,11,0,0,0
External,google_gemma-3-4b-it,1800,29,0.9838888888888889,0,0,0,29,0,0
External,meta-llama_Llama-3.1-8B-Instruct,1800,22,0.9877777777777778,0,0,0,22,0,0
External,meta-llama_Llama-3.2-1B-Instruct,1800,138,0.9233333333333333,0,0,0,138,0,0
External,meta-llama_Llama-3.2-3B-Instruct,1800,15,0.9916666666666667,0,0,0,15,0,0
History,Qwen_Qwen2.5-1.5B-Instruct,1800,1,0.9994444444444445,0,1,0,0,0,0
History,Qwen_Qwen2.5-3B-Instruct,1800,15,0.9916666666666667,0,0,0,15,0,0
History,Qwen_Qwen2.5-7B-Instruct,1800,0,1.0,0,0,0,0,0,0
History,allenai_OLMo-2-0325-32B-Instruct,1800,0,1.0,0,0,0,0,0,0
History,allenai_OLMo-2-1124-13B-Instruct,1800,22,0.9877777777777778,0,22,0,0,0,0
History,google_gemma-3-1b-it,1800,3,0.9983333333333333,0,0,3,0,0,0
History,google_gemma-3-4b-it,1800,20,0.9888888888888889,0,0,0,20,0,0
History,meta-llama_Llama-3.1-8B-Instruct,1800,27,0.985,0,0,0,27,0,0
History,meta-llama_Llama-3.2-1B-Instruct,1800,117,0.935,0,0,1,116,0,0
History,meta-llama_Llama-3.2-3B-Instruct,1800,34,0.9811111111111112,0,0,0,34,0,0
Icl,Qwen_Qwen2.5-1.5B-Instruct,1800,0,1.0,0,0,0,0,0,0
Icl,Qwen_Qwen2.5-3B-Instruct,1800,0,1.0,0,0,0,0,0,0
Icl,Qwen_Qwen2.5-7B-Instruct,1800,0,1.0,0,0,0,0,0,0
Icl,allenai_OLMo-2-0325-32B-Instruct,1800,0,1.0,0,0,0,0,0,0
Icl,allenai_OLMo-2-1124-13B-Instruct,1800,1,0.9994444444444445,0,0,0,1,0,0
Icl,google_gemma-3-1b-it,1800,0,1.0,0,0,0,0,0,0
Icl,google_gemma-3-4b-it,1800,0,1.0,0,0,0,0,0,0
Icl,meta-llama_Llama-3.1-8B-Instruct,1800,53,0.9705555555555555,0,0,0,53,0,0
Icl,meta-llama_Llama-3.2-1B-Instruct,1800,112,0.9377777777777778,0,0,0,112,0,0
Icl,meta-llama_Llama-3.2-3B-Instruct,1800,15,0.9916666666666667,0,0,0,15,0,0
Rag,Qwen_Qwen2.5-1.5B-Instruct,1800,1,0.9994444444444445,0,0,1,0,0,0
Rag,Qwen_Qwen2.5-3B-Instruct,1800,4,0.9977777777777778,0,3,0,1,0,0
Rag,Qwen_Qwen2.5-7B-Instruct,1800,0,1.0,0,0,0,0,0,0
Rag,allenai_OLMo-2-0325-32B-Instruct,1800,0,1.0,0,0,0,0,0,0
Rag,allenai_OLMo-2-1124-13B-Instruct,1800,9,0.995,0,0,0,9,0,0
Rag,google_gemma-3-1b-it,1800,0,1.0,0,0,0,0,0,0
Rag,google_gemma-3-4b-it,1800,1,0.9994444444444445,0,0,0,1,0,0
Rag,meta-llama_Llama-3.1-8B-Instruct,1800,13,0.9927777777777778,0,0,0,13,0,0
Rag,meta-llama_Llama-3.2-1B-Instruct,1800,88,0.9511111111111111,0,0,0,88,0,0
Rag,meta-llama_Llama-3.2-3B-Instruct,1800,11,0.9938888888888889,0,0,0,11,0,0
Tool,Qwen_Qwen2.5-1.5B-Instruct,1800,45,0.975,0,0,45,0,0,0
Tool,Qwen_Qwen2.5-3B-Instruct,1800,41,0.9772222222222222,0,37,2,2,0,0
Tool,Qwen_Qwen2.5-7B-Instruct,1800,0,1.0,0,0,0,0,0,0
Tool,allenai_OLMo-2-0325-32B-Instruct,1800,0,1.0,0,0,0,0,0,0
Tool,allenai_OLMo-2-1124-13B-Instruct,1800,6,0.9966666666666667,0,0,0,6,0,0
Tool,google_gemma-3-1b-it,1800,1,0.9994444444444445,0,0,0,1,0,0
Tool,google_gemma-3-4b-it,1800,55,0.9694444444444444,0,0,0,55,0,0
Tool,meta-llama_Llama-3.1-8B-Instruct,1800,81,0.955,41,0,8,32,0,0
Tool,meta-llama_Llama-3.2-1B-Instruct,1800,1790,0.005555555555555556,1731,0,40,19,0,0
Tool,meta-llama_Llama-3.2-3B-Instruct,1800,366,0.7966666666666666,311,0,55,0,0,0
