suite,model,uai_irr,uai_plaus,disc_delta,p_plaus_vs_irr_bh,parse_rate,disc_delta_ci_lo,disc_delta_ci_hi,plausible_gt_irrelevant
External,Qwen-1.5B,0.0245,0.2232,0.1986,0.0,1.0,0.1437,0.258,True
History,Qwen-1.5B,0.041,0.9273,0.8864,0.0,0.9994,0.8168,0.984,True
Icl,Qwen-1.5B,0.0115,0.0011,-0.0104,0.442575,1.0,-0.0351,0.0143,False
Rag,Qwen-1.5B,0.0426,0.2462,0.2036,0.0,0.9994,0.1465,0.2644,True
Tool,Qwen-1.5B,0.2403,0.8206,0.5803,0.0,0.975,0.404,0.7766,True
External,Qwen-3B,0.0064,0.106,0.0996,0.0,0.9911,0.0293,0.1733,True
History,Qwen-3B,0.0235,0.2052,0.1817,0.0,0.9917,0.0921,0.2703,True
Icl,Qwen-3B,-0.0399,-0.0373,0.0027,0.415124,1.0,-0.0254,0.0308,True
Rag,Qwen-3B,-0.0243,0.0715,0.0958,0.0,0.9978,0.0462,0.1394,True
Tool,Qwen-3B,0.0939,0.1692,0.0753,0.0,0.9772,-0.0564,0.2004,True
External,Qwen-7B,0.0071,0.2912,0.2841,0.0,1.0,0.2408,0.3289,True
History,Qwen-7B,-0.0092,0.1714,0.1806,0.0,1.0,0.124,0.2458,True
Icl,Qwen-7B,-0.0253,-0.013,0.0123,0.981865,1.0,-0.0199,0.0561,True
Rag,Qwen-7B,-0.0038,0.1968,0.2005,0.0,1.0,0.1562,0.2442,True
Tool,Qwen-7B,0.0031,0.1707,0.1676,0.0,1.0,0.1361,0.1991,True
External,Llama-1B,0.2313,0.2398,0.0086,0.12228,0.9233,-0.1764,0.1874,True
History,Llama-1B,0.5151,0.53,0.0149,0.014083,0.935,-0.3355,0.2799,True
Icl,Llama-1B,0.2231,0.1478,-0.0754,0.400224,0.9378,-0.2617,0.0746,False
Rag,Llama-1B,0.0444,0.14,0.0956,0.382501,0.9511,-0.0674,0.2685,True
Tool,Llama-1B,,,,,0.0056,,,False
External,Llama-3B,0.077,0.2828,0.2058,0.0,0.9917,0.0395,0.3584,True
History,Llama-3B,0.1237,0.34,0.2163,1.2e-05,0.9811,0.0459,0.3757,True
Icl,Llama-3B,0.081,0.0853,0.0042,0.392989,0.9917,-0.1111,0.1188,True
Rag,Llama-3B,0.1568,0.1182,-0.0386,0.654044,0.9939,-0.1934,0.1211,False
Tool,Llama-3B,0.0124,0.2457,0.2333,0.0,0.7967,0.0793,0.3654,True
External,Llama-8B,0.0388,0.3236,0.2848,0.0,0.9878,0.178,0.4259,True
History,Llama-8B,0.2098,0.2899,0.08,0.149328,0.985,-0.0887,0.2482,True
Icl,Llama-8B,0.0158,0.1811,0.1653,0.005954,0.9706,0.0119,0.3214,True
Rag,Llama-8B,-0.044,0.129,0.173,0.0,0.9928,0.086,0.2628,True
Tool,Llama-8B,0.3102,0.472,0.1617,0.0,0.955,0.0039,0.3279,True
External,Gemma-1B,0.0149,0.1629,0.148,0.0,0.9939,0.0679,0.231,True
History,Gemma-1B,-0.062,0.1506,0.2126,2e-06,0.9983,0.095,0.4006,True
Icl,Gemma-1B,-0.0046,-0.0265,-0.0218,0.595369,1.0,-0.0596,0.0163,False
Rag,Gemma-1B,-0.0014,0.0413,0.0427,0.013065,1.0,0.0131,0.0772,True
Tool,Gemma-1B,-0.0447,-0.0294,0.0153,0.421354,0.9994,-0.1394,0.1774,True
External,Gemma-4B,0.1834,0.4082,0.2248,0.000383,0.9839,0.01,0.4418,True
History,Gemma-4B,0.198,0.4341,0.2362,1e-06,0.9889,0.0713,0.403,True
Icl,Gemma-4B,0.0039,-0.0729,-0.0768,9e-06,1.0,-0.1248,-0.0269,False
Rag,Gemma-4B,0.002,-0.045,-0.047,0.024508,0.9994,-0.1329,0.0426,False
Tool,Gemma-4B,0.2362,0.2657,0.0295,0.123044,0.9694,-0.1713,0.2191,True
External,OLMo-13B,0.0265,0.1011,0.0746,5e-06,0.9939,-0.0548,0.181,True
History,OLMo-13B,-0.1346,0.1555,0.29,0.0,0.9878,0.1752,0.4211,True
Icl,OLMo-13B,0.0134,-0.0131,-0.0266,0.537346,0.9994,-0.1057,0.0474,False
Rag,OLMo-13B,0.0012,0.018,0.0167,0.173235,0.995,-0.0687,0.1001,True
Tool,OLMo-13B,0.1492,0.128,-0.0212,0.813596,0.9967,-0.2037,0.1635,False
External,OLMo-32B,0.0453,0.3984,0.353,0.0,1.0,0.283,0.414,True
History,OLMo-32B,-0.0439,0.0735,0.1174,0.005411,1.0,0.0244,0.1898,True
Icl,OLMo-32B,-0.0169,-0.009,0.0079,0.79419,1.0,-0.0324,0.051,True
Rag,OLMo-32B,-0.0007,0.4495,0.4502,0.0,1.0,0.4011,0.503,True
Tool,OLMo-32B,-0.0047,0.0417,0.0464,0.602133,1.0,-0.0205,0.1118,True
