model,suite,n_evidence,uai_irr_observed,uai_plaus_observed,uai_plaus_ci_lo,uai_plaus_ci_hi,w_implied_irr,w_implied_plaus,reference_w,excess_irr_vs_zero,excess_plaus_vs_ref,plaus_above_rational_ci
Qwen-1.5B,External,5,0.0217,0.2001,0.1521,0.2497,0.11090667484411736,1.2507813476684584,1.0,0.0217,0.03343333333333334,False
Qwen-3B,External,5,0.0101,0.0907,0.0282,0.1504,0.05101525406606727,0.4987352908830969,1.0,0.0101,-0.07596666666666665,False
Qwen-7B,External,5,0.0133,0.2711,0.2303,0.3121,0.06739637174419784,1.8596515297022913,1.0,0.0133,0.10443333333333335,True
OLMo-32B,External,5,0.0466,0.3951,0.3506,0.4324,0.24438850430039857,3.2658290626549844,1.0,0.0466,0.22843333333333335,True
OLMo-13B,External,5,-0.0082,0.1585,0.0935,0.227,0.0,0.9417706476530006,1.0,-0.0082,-0.008166666666666655,False
Gemma-1B,External,5,0.0171,0.1798,0.1149,0.2495,0.08698748601078442,1.0960741282613995,1.0,0.0171,0.01313333333333333,False
Gemma-4B,External,5,0.1954,0.4281,0.2897,0.5754,1.2142679592344021,3.7427872005595377,1.0,0.1954,0.2614333333333333,True
Llama-8B,External,5,0.065,0.3604,0.2833,0.4393,0.34759358288770054,2.8173858661663544,1.0,0.065,0.19373333333333334,True
Llama-1B,External,5,0.128,0.1533,0.0248,0.2844,0.7339449541284404,0.9052793197118223,1.0,0.128,-0.013366666666666666,False
Llama-3B,External,5,0.1443,0.2943,0.1682,0.4256,0.8431693350473297,2.0851636672807143,1.0,0.1443,0.12763333333333335,True
Qwen-1.5B,Icl,5,0.0149,0.0045,-0.038,0.0494,0.07562683991472947,0.02260170768458061,1.0,0.0149,-0.16216666666666665,False
Qwen-3B,Icl,5,-0.0399,-0.0372,-0.0829,-0.0003,0.0,0.0,1.0,-0.0399,-0.20386666666666664,False
Qwen-7B,Icl,5,-0.0253,-0.013,-0.0382,0.0125,0.0,0.0,1.0,-0.0253,-0.17966666666666667,False
OLMo-32B,Icl,5,-0.0222,-0.0071,-0.04,0.0283,0.0,0.0,1.0,-0.0222,-0.17376666666666665,False
OLMo-13B,Icl,5,0.0285,0.0163,-0.0486,0.078,0.14668039114770973,0.08285046253939207,1.0,0.0285,-0.15036666666666665,False
Gemma-1B,Icl,5,-0.0046,-0.0265,-0.063,0.011,0.0,0.0,1.0,-0.0046,-0.19316666666666665,False
Gemma-4B,Icl,5,0.0046,-0.0614,-0.1255,0.0015,0.02310628892907374,0.0,1.0,0.0046,-0.22806666666666667,False
Llama-8B,Icl,5,0.0278,0.1491,0.0561,0.2415,0.14297469656449288,0.8761311552473852,1.0,0.0278,-0.017566666666666647,False
Llama-1B,Icl,5,0.3019,0.2168,0.0793,0.3456,2.1622976650909616,1.3840653728294179,1.0,0.3019,0.050133333333333335,False
Llama-3B,Icl,5,0.0722,0.1354,0.0473,0.2321,0.38909247682690234,0.7830210501966226,1.0,0.0722,-0.031266666666666665,False
Qwen-1.5B,Rag,5,0.0193,0.2266,0.1776,0.2733,0.09839910268175793,1.464959917248513,1.0,0.0193,0.05993333333333334,True
Qwen-3B,Rag,5,-0.0249,0.0788,0.0388,0.1168,0.0,0.4277029960920538,1.0,-0.0249,-0.08786666666666666,False
Qwen-7B,Rag,5,-0.0035,0.1967,0.1534,0.2413,0.0,1.2243246607743061,1.0,-0.0035,0.030033333333333356,False
OLMo-32B,Rag,5,0.0077,0.4468,0.4026,0.4896,0.038798750377909905,4.038322487346348,1.0,0.0077,0.28013333333333335,True
OLMo-13B,Rag,5,-0.0005,0.0468,-0.017,0.1103,0.0,0.24548887956357532,1.0,-0.0005,-0.11986666666666665,False
Gemma-1B,Rag,5,-0.0019,0.0413,0.0019,0.0808,0.0,0.21539584854490457,1.0,-0.0019,-0.12536666666666665,False
Gemma-4B,Rag,5,0.0539,0.0053,-0.0744,0.0956,0.2848536095550154,0.026641198351261684,1.0,0.0539,-0.16136666666666666,False
Llama-8B,Rag,5,-0.0204,0.122,0.0546,0.1876,0.0,0.6947608200455581,1.0,-0.0204,-0.04466666666666666,False
Llama-1B,Rag,5,0.1012,0.0925,-0.0201,0.2056,0.5629728526924789,0.509641873278237,1.0,0.1012,-0.07416666666666666,False
Llama-3B,Rag,5,0.1419,0.2219,0.0957,0.372,0.8268267101736395,1.4259092661611616,1.0,0.1419,0.05523333333333333,False
