suite,model,model_slug,baseline,n_items,d_pls,d_pls_signed,d_irr,d_irr_signed,d_hi_lo,d_hi_lo_signed,d_pls_z,d_irr_z
external,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,control,360,0.463,-0.078,0.015,-0.015,0.889,0.889,0.561,0.04
external,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,control,360,0.47,0.249,0.022,0.009,0.842,0.842,0.378,0.02
external,Gemma-4B,google_gemma-3-4b-it,control,360,0.209,0.209,0.4,0.4,0.301,0.301,0.165,0.331
external,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,control,360,0.239,0.239,0.013,0.013,0.324,0.324,0.207,0.016
rag,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,control,360,0.261,-0.085,0.014,-0.014,0.501,0.501,0.302,0.054
rag,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,control,360,0.177,-0.006,0.062,0.062,0.336,0.336,0.165,0.066
rag,Gemma-4B,google_gemma-3-4b-it,control,360,0.112,-0.038,0.209,0.209,0.209,-0.209,0.111,0.26
rag,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,control,360,0.103,0.103,0.061,0.061,0.056,0.056,0.105,0.063
tool,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,control,360,0.294,0.161,0.005,0.005,0.525,0.525,0.339,0.023
tool,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,control,357,0.39,0.344,0.346,0.346,0.763,0.763,0.315,0.305
tool,Gemma-4B,google_gemma-3-4b-it,control,360,0.079,0.039,0.05,0.05,0.135,0.135,0.065,0.039
tool,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,control,360,0.16,0.16,0.063,0.063,0.022,-0.022,0.136,0.057
history,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,control,360,0.213,-0.208,0.299,-0.299,0.459,-0.459,0.281,0.388
history,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,control,360,0.107,-0.09,0.113,0.012,0.214,-0.214,0.094,0.097
history,Gemma-4B,google_gemma-3-4b-it,control,360,0.389,0.389,0.204,0.002,0.81,-0.81,0.309,0.154
history,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,control,360,0.236,0.236,0.158,-0.158,0.367,-0.367,0.224,0.151
