suite,model,model_slug,uai_irr_baseline,uai_irr_cot,uai_irr_delta,uai_plaus_baseline,uai_plaus_cot,uai_plaus_delta,disc_delta_baseline,disc_delta_cot,disc_delta_delta,mae_control_baseline,mae_control_cot,mae_control_delta,acc10_control_baseline,acc10_control_cot,acc10_control_delta,parse_rate_baseline,parse_rate_cot,parse_rate_delta
external,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,0.0133,0.004,-0.0093,0.2711,0.1552,-0.1159,0.2578,0.1512,-0.10659999999999997,7.74,0.93,-6.8100000000000005,0.725,0.9639,0.2389,1.0,1.0,0.0
external,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,0.0624,0.0546,-0.0077999999999999944,0.1469,0.1802,0.033299999999999996,0.0845,0.1255,0.040999999999999995,3.38,5.49,2.1100000000000003,0.8914,0.8408,-0.05059999999999998,0.9989,0.9978,-0.0010999999999999899
external,Gemma-4B,google_gemma-3-4b-it,0.0891,0.0105,-0.0786,0.3707,0.235,-0.1357,0.2816,0.2245,-0.05710000000000001,11.17,10.23,-0.9399999999999995,0.6657,0.7131,0.0474,0.9967,0.9922,-0.0045000000000000595
external,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,0.0834,0.0566,-0.026800000000000004,0.3943,0.3663,-0.02799999999999997,0.3109,0.3096,-0.0013000000000000234,4.71,6.66,1.9500000000000002,0.8571,0.8141,-0.04299999999999993,0.9917,0.9883,-0.0034000000000000696
external,GPT-5.4-mini,openai_gpt-5.4-mini,0.0055,-0.0051,-0.0106,0.1301,0.1358,0.005700000000000011,0.1246,0.1409,0.016299999999999995,0.38,0.52,0.14,0.9972,0.9889,-0.008299999999999974,1.0,0.9994,-0.0006000000000000449
rag,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,-0.0049,-0.0016,0.0033,0.1885,0.028,-0.1605,0.1933,0.0296,-0.1637,9.84,0.92,-8.92,0.6333,0.9778,0.34450000000000003,1.0,1.0,0.0
rag,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,0.0825,0.0441,-0.038400000000000004,0.0529,-0.0074,-0.060300000000000006,-0.0297,-0.0515,-0.021799999999999996,4.31,4.68,0.3700000000000001,0.8778,0.8611,-0.016700000000000048,0.9983,0.9994,0.0010999999999999899
rag,Gemma-4B,google_gemma-3-4b-it,-0.025,0.0653,0.09029999999999999,-0.0544,0.2538,0.30820000000000003,-0.0295,0.1885,0.218,13.22,12.0,-1.2200000000000006,0.4611,0.6602,0.1991,1.0,0.9989,-0.0010999999999999899
rag,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,0.0823,0.0666,-0.015699999999999992,0.1998,0.1239,-0.07590000000000001,0.1175,0.0572,-0.06029999999999999,5.03,4.84,-0.1900000000000004,0.8436,0.8575,0.013900000000000023,0.9928,0.9911,-0.0017000000000000348
rag,GPT-5.4-mini,openai_gpt-5.4-mini,0.0026,-0.0041,-0.0067,0.0891,0.0804,-0.0087,0.0865,0.0846,-0.001899999999999999,0.77,0.52,-0.25,0.9861,0.9889,0.0028000000000000247,1.0,0.9994,-0.0006000000000000449
history,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,-0.0956,-0.0195,0.0761,0.4242,0.1295,-0.2947,0.5198,0.149,-0.3708,8.36,2.94,-5.42,0.7278,0.9194,0.1916,1.0,1.0,0.0
history,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,-0.0912,0.0883,0.1795,0.5052,0.1677,-0.3375,0.5964,0.0794,-0.517,9.78,5.46,-4.319999999999999,0.6741,0.8361,0.16199999999999992,0.9983,0.9989,0.0006000000000000449
history,Gemma-4B,google_gemma-3-4b-it,0.243,0.3127,0.06969999999999998,0.5673,0.6384,0.07109999999999994,0.3243,0.3258,0.0015000000000000013,12.9,12.92,0.019999999999999574,0.5754,0.6389,0.0635,0.9956,0.9972,0.0015999999999999348
history,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,0.0801,0.2734,0.19329999999999997,0.2901,0.2816,-0.008500000000000008,0.21,0.0082,-0.20179999999999998,8.1,9.83,1.7300000000000004,0.7619,0.7556,-0.006299999999999972,0.9928,0.9922,-0.0006000000000000449
history,GPT-5.4-mini,openai_gpt-5.4-mini,-0.005,0.0071,0.0121,0.0206,-0.0265,-0.0471,0.0256,-0.0335,-0.0591,2.52,1.11,-1.41,0.9556,0.9833,0.027699999999999947,1.0,1.0,0.0
