suite,model,model_slug,uai_mild,uai_standard,uai_strong,n_mild,n_standard,n_strong
external,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,0.2281805855071329,0.3107740164421074,0.49280981911986993,716,716,716
external,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,0.06908527623438192,0.15503929833430985,0.28667095998247943,710,711,705
external,Gemma-4B,google_gemma-3-4b-it,0.4468776936270878,0.4153347549830091,0.40263533437094384,673,670,676
external,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,0.25899820436354715,0.39449288686240763,0.4166600068976777,702,690,675
rag,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,0.0732579804427708,0.1889636923959068,0.2923232999195331,717,717,717
rag,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,0.01682281198699538,0.09051818122200402,0.10330010832803027,708,710,706
rag,Gemma-4B,google_gemma-3-4b-it,0.0036220396376910385,-0.06075279764823952,0.04261604674235561,706,706,706
rag,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,0.0968697921626795,0.08722715092237239,0.2940231587126984,702,703,698
history,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,0.37425252161518546,0.23913387621537685,0.5173328971660309,682,682,683
history,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,0.4531745546625437,0.24328538678600806,0.9109849578303005,704,708,704
history,Gemma-4B,google_gemma-3-4b-it,0.613744723124517,0.5807339181785741,0.5999705194718881,688,688,687
history,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,0.44150637212976634,0.19668203846817203,1.5672247756387834,700,696,693
