suite,model,model_slug,n_medical,n_business,uai_irr_medical,uai_irr_business,uai_pls_medical,uai_pls_business,disc_medical,disc_business,mae_medical,mae_business,acc10_medical,acc10_business,delta_uai_irr,delta_uai_pls,delta_disc
external,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,450,1800,0.0652,0.0133,0.3819,0.2711,0.3167,0.2578,16.01,7.74,0.4556,0.725,0.051899999999999995,0.11080000000000001,0.05890000000000001
external,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,450,1800,0.0803,-0.0082,0.0896,0.1585,0.0093,0.1666,6.56,3.64,0.8111,0.8942,0.0885,-0.0689,-0.1573
external,Gemma-4B,google_gemma-3-4b-it,450,1800,0.2771,0.1954,0.2106,0.4281,-0.0665,0.2327,20.54,16.33,0.3111,0.5511,0.08170000000000002,-0.21749999999999997,-0.2992
external,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,450,1800,0.032,0.065,0.2451,0.3604,0.2131,0.2954,8.27,5.61,0.7303,0.8258,-0.033,-0.11529999999999999,-0.08229999999999998
external,GPT-5.4-mini,openai_gpt-5.4-mini,450,0,0.0141,,0.1974,,0.1833,,1.93,,0.9667,,,,
history,Qwen-7B,Qwen_Qwen2.5-7B-Instruct,150,1800,-0.3679,-0.058,0.6549,0.3739,1.0228,0.4318,14.9,7.11,0.6,0.7861,-0.3099,0.281,0.591
history,OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,150,1800,0.4349,-0.0008,0.5311,0.3155,0.0962,0.3163,17.0,5.14,0.4,0.8583,0.43570000000000003,0.2156,-0.22010000000000002
history,Gemma-4B,google_gemma-3-4b-it,150,1800,0.1658,0.2298,0.4085,0.5001,0.2427,0.2703,21.82,15.78,0.3214,0.5621,-0.064,-0.09160000000000001,-0.027599999999999986
history,Llama-8B,meta-llama_Llama-3.1-8B-Instruct,150,1800,-0.229,0.1325,0.2507,0.2337,0.4798,0.1012,6.63,5.74,0.7333,0.8287,-0.36150000000000004,0.016999999999999987,0.3786
history,GPT-5.4-mini,openai_gpt-5.4-mini,150,0,-0.0536,,0.2904,,0.3439,,5.83,,0.7667,,,,
