model,model_slug,k,acc10,uai_pls,uai_irr,rational_ceiling_w1,n_items
Qwen-7B,Qwen_Qwen2.5-7B-Instruct,1,0.41899441340782123,0.52648733478851,0.21885748101732144,0.5,358
Qwen-7B,Qwen_Qwen2.5-7B-Instruct,2,0.6388888888888888,0.3400017071325346,0.012116931381784553,0.3333333333333333,360
Qwen-7B,Qwen_Qwen2.5-7B-Instruct,3,0.75,0.3573621164467804,0.017407892125310038,0.25,360
OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,1,0.5363128491620112,0.48150184637833504,0.19499390997812446,0.5,358
OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,2,0.7555555555555555,0.3362194953287894,0.10957127621539109,0.3333333333333333,360
OLMo-13B,allenai_OLMo-2-1124-13B-Instruct,3,0.8138888888888889,0.28866730454517525,0.06166252250279884,0.25,360
Gemma-4B,google_gemma-3-4b-it,1,0.5444444444444444,0.2134187997330866,0.1377895283763733,0.5,360
Gemma-4B,google_gemma-3-4b-it,2,0.5994397759103641,0.20194320138273703,-0.12523044001223457,0.3333333333333333,357
Gemma-4B,google_gemma-3-4b-it,3,0.6376404494382022,0.24962125797292448,0.1269283389356474,0.25,356
Llama-8B,meta-llama_Llama-3.1-8B-Instruct,1,0.4676470588235294,0.6837657057817194,0.24864512983992557,0.5,340
Llama-8B,meta-llama_Llama-3.1-8B-Instruct,2,0.6057142857142858,0.35575779248324796,-0.02959353487609613,0.3333333333333333,350
Llama-8B,meta-llama_Llama-3.1-8B-Instruct,3,0.6852367688022284,0.503626413004305,0.19766482021443618,0.25,359
